codigo,tipo,archivo,ruta_relativa,duracion_segundos,formato,codec_video,codec_audio,tamano_bytes,sha256
EV2-PAC-01_Entrevista,Video,EV2-PAC-01_Entrevista.mp4,03_Videos_Originales\EV2-PAC-01_Entrevista.mp4,"285,92","mov,mp4,m4a,3gp,3g2,mj2",h264,aac,61370351.0,d9080bff56c21fb7ba5e1bd0485e05f5dfcf56602a5dff882fd7cef37cf7410f
EV2-PAC-01_Walktrough,Video,EV2-PAC-01_Walktrough.mp4,03_Videos_Originales\EV2-PAC-01_Walktrough.mp4,"126,16","mov,mp4,m4a,3gp,3g2,mj2",h264,aac,27088631.0,161fb39e995eed543a13f4fc56fb1aec78875311be930fb800f56cec160995de
EV2-PAC-03_Entrevista,Video,EV2-PAC-03_Entrevista.mp4,03_Videos_Originales\EV2-PAC-03_Entrevista.mp4,"257,35","mov,mp4,m4a,3gp,3g2,mj2",h264,aac,54294746.0,4e5a2f93e387cf9d45bcf31453190b1f4ed8b45b3436139b78cf6495d9d6ef34
EV2-PAC-03_Walkthrough,Video,EV2-PAC-03_Walkthrough.mp4,03_Videos_Originales\EV2-PAC-03_Walkthrough.mp4,"207,12","mov,mp4,m4a,3gp,3g2,mj2",h264,aac,44470938.0,65139870c71c1b8c1e05b95cef4a725cb873fbcaf4ab6e33d7b147256e210401
EV2-PAC-04_Entrevista,Video,EV2-PAC-04_Entrevista.mp4,03_Videos_Originales\EV2-PAC-04_Entrevista.mp4,"444,86","mov,mp4,m4a,3gp,3g2,mj2",h264,aac,95316582.0,1aec08f27a05e89a0d151486ef15602a3fd1fa5de4d6733b42a4c1bf84c4cd7f
EV2-PAC-04_Walkthrough,Video,EV2-PAC-04_Walkthrough.mp4,03_Videos_Originales\EV2-PAC-04_Walkthrough.mp4,"244,72","mov,mp4,m4a,3gp,3g2,mj2",h264,aac,52393056.0,cb4f3271fed6983df7ca3c76e05dfa3499895f168b7d49f5c8b3d4f8dce1a4ce
EV2-PAC-05_Entrevista,Video,EV2-PAC-05_Entrevista.mp4,03_Videos_Originales\EV2-PAC-05_Entrevista.mp4,"788,52","mov,mp4,m4a,3gp,3g2,mj2",h264,aac,18178615.0,b17223b30b6a8c45cb0980edb357a086ae796b97474a9de828ce452c2cfd9d43
EV2-PAC-05_Walktrough,Video,EV2-PAC-05_Walktrough.mp4,03_Videos_Originales\EV2-PAC-05_Walktrough.mp4,"263,36","mov,mp4,m4a,3gp,3g2,mj2",h264,aac,8235128.0,80307bbde93d7a46383b5d6bad66fd55e1c4eda08e3d22f810343c8018459c98
EV2-PAC-06_Entrevista,Video,EV2-PAC-06_Entrevista.mp4,03_Videos_Originales\EV2-PAC-06_Entrevista.mp4,"735,08","mov,mp4,m4a,3gp,3g2,mj2",h264,aac,18297522.0,fe8c1ce8dbaba64f3ad44cd10e39226e02606f9d0539ca6a962a2d3a6f6e9f09
EV2-PAC-06_Walktrough,Video,EV2-PAC-06_Walktrough.mp4,03_Videos_Originales\EV2-PAC-06_Walktrough.mp4,"165,48","mov,mp4,m4a,3gp,3g2,mj2",h264,aac,5172293.0,c03c949c8de43efcf5f932b5a2c8e521df52b6a4ea4826c921a9399345141565
EV2-PAC-07_Entrevista,Video,EV2-PAC-07_Entrevista.mp4,03_Videos_Originales\EV2-PAC-07_Entrevista.mp4,"565,76","mov,mp4,m4a,3gp,3g2,mj2",h264,aac,13299198.0,b19a08c79069ddb4f0f120492a9d216c3d9b9e841daf87263d222c79eb78cc99
EV2-PAC-07_Walktrough,Video,EV2-PAC-07_Walktrough.mp4,03_Videos_Originales\EV2-PAC-07_Walktrough.mp4,"189,23","mov,mp4,m4a,3gp,3g2,mj2",h264,aac,5032276.0,ff6f552eb07dc9c0334f9693198864e568950374528be16a8f413b8c1684864b
EV2-PAC-08_Entrevista,Video,EV2-PAC-08_Entrevista.mp4,03_Videos_Originales\EV2-PAC-08_Entrevista.mp4,"600,41","mov,mp4,m4a,3gp,3g2,mj2",h264,aac,14891718.0,0f7da0435e839c111bb764b710608ad6285c40d2855543c7ffae537cf74d2a25
